nome,genero,blood_status,profissao,casa,patrono,elemento_preferido,animal_preferido,cor,coragem,ambicao,inteligencia,lealdade,determinacao,justica,criatividade,coragem_moral,cautela,lealdade_a_amigos,competitividade,individualismo,cooperacao,fama_reconhecimento,pertencimento_comunidade,pensamento_analitico,intuicao,estrategia,impulsividade,autocontrole,empatia,etica,pragmatismo,lideranca,leitura_de_pessoas,persistencia,humildade,orgulho,busca_por_proposito_pessoal,identidade_forte
Amelia Wright,Não-Binário,Mestiço,Tratador(a) de Criaturas Mágicas,Gryffindor,Indeterminado,Fogo,Cachorro,Vermelho,9,4,8,6,9,1,4,9,3,6,4,6,6,7,9,1,3,5,6,2,9,4,4,7,7,10,8,5,4,3
Dr Henry Bennett,Não-Binário,Mestiço,Estudante,Slytherin,Fênix,Água,Testrálio,Prata,3,9,8,3,9,4,8,2,5,4,8,10,6,2,4,4,3,9,4,6,4,6,10,10,1,10,3,9,3,7
Naomi Jones,Masculino,Mestiço,Tratador(a) de Criaturas Mágicas,Gryffindor,Lontra,Fogo,Aranha,Dourado,7,5,8,4,8,1,4,7,4,8,7,2,1,6,4,6,1,6,10,8,7,8,2,8,5,8,7,4,4,3
Frank O'Connor,Masculino,Nascido-Trouxa,Estudante,Gryffindor,Águia,Fogo,Mini-pufe,Dourado,8,6,8,9,8,9,4,10,2,9,6,5,4,7,4,6,9,3,6,5,6,9,1,5,4,8,6,10,6,8
Mr Denis Lloyd,Não-Binário,Puro-Sangue,Pesquisador(a),Hufflepuff,Texugo,Terra,Hipogrifo,Preto,3,3,7,8,8,8,10,8,4,9,3,3,8,1,10,4,5,5,6,9,8,7,2,3,9,10,6,3,1,5
Denis Foster,Não-Binário,Mestiço,Desempregado(a),Gryffindor,Salmão,Ar,Rato,Vermelho,7,7,6,8,5,6,1,8,4,10,8,2,3,7,1,3,6,2,9,4,4,4,1,6,9,6,6,1,10,5
Peter Phillips,Masculino,Puro-Sangue,Herbologista,Slytherin,Raposa,Água,Dragão (miniatura),Prata,2,9,7,5,10,2,5,9,4,5,10,10,5,9,1,9,7,9,7,10,2,3,6,6,6,1,1,8,2,10
Norman Hughes,Não-Binário,Mestiço,Lojista,Slytherin,Lobo,Terra,Coruja,Prata,8,10,2,4,10,3,7,7,8,5,9,10,4,2,4,4,1,10,1,6,1,6,6,7,9,3,3,7,9,9
Margaret Brown,Masculino,Nascido-Trouxa,Desempregado(a),Gryffindor,Lobo,Fogo,Amasso (Kneazle),Vermelho,9,6,5,10,7,10,9,10,3,6,8,8,7,7,1,8,7,6,6,4,5,9,4,8,7,4,2,6,2,9
Mary Metcalfe,Feminino,Mestiço,Pesquisador(a),Hufflepuff,Águia,Terra,Fênix,Amarelo,10,5,1,8,1,9,3,9,2,9,1,4,9,5,9,10,2,4,6,5,10,8,10,6,5,6,7,3,5,2
Carol McCarthy,Não-Binário,Nascido-Trouxa,Jogador(a) de Quadribol,Hufflepuff,Cisne,Terra,Cachorro,Preto,3,2,2,10,6,7,4,5,9,8,5,6,7,10,9,1,9,5,2,10,8,7,3,7,10,6,6,3,7,7
Allan Harvey-Robinson,Feminino,Puro-Sangue,Estudante,Gryffindor,Serpente,Fogo,Rato,Vermelho,10,5,5,8,7,3,7,10,3,7,6,8,10,2,1,1,1,6,7,2,7,3,4,9,7,1,2,10,5,9
Ms Kim Carpenter,Masculino,Puro-Sangue,Auror,Gryffindor,Cão,Fogo,Coruja,Vermelho,10,6,7,10,6,8,9,10,2,7,5,7,9,8,2,5,7,4,7,7,9,4,4,6,8,5,10,5,7,9
Ms Jayne Bevan,Não-Binário,Nascido-Trouxa,Jogador(a) de Quadribol,Hufflepuff,Cisne,Terra,Rato,Preto,10,2,7,10,3,7,6,1,6,8,1,4,8,7,8,5,8,3,8,10,9,9,4,3,8,6,8,2,9,10
Eric Hall-Wilson,Não-Binário,Mestiço,Herbologista,Gryffindor,Cervo,Fogo,Mini-pufe,Vermelho,10,7,6,3,8,10,1,10,3,7,6,1,4,9,10,6,9,5,6,3,10,1,4,8,1,8,4,4,6,4
Abigail Gill,Não-Binário,Nascido-Trouxa,Pesquisador(a),Hufflepuff,Cervo,Fogo,Cachorro,Preto,2,1,1,8,6,9,10,5,1,10,5,3,9,8,8,10,4,6,6,1,8,7,4,3,5,10,6,2,7,6
Jason Hudson-Sharp,Não-Binário,Puro-Sangue,Medibruxo(a),Hufflepuff,Cisne,Terra,Dragão (miniatura),Amarelo,10,2,3,10,8,7,3,9,6,10,3,3,7,10,9,3,7,6,4,8,10,8,2,6,2,8,8,6,5,9
Gavin Marshall-Davies,Masculino,Puro-Sangue,Funcionário(a) do Ministério,Gryffindor,Gato,Fogo,Hipogrifo,Dourado,9,4,5,4,6,2,7,7,2,8,7,4,6,3,9,9,5,2,7,4,4,10,2,7,5,2,5,9,5,6
Dr Darren Tomlinson,Não-Binário,Puro-Sangue,Jogador(a) de Quadribol,Gryffindor,Cavalo,Fogo,Cachorro,Vermelho,8,3,7,9,5,10,9,7,2,6,6,5,6,10,7,1,3,6,7,2,6,6,4,9,8,10,10,4,10,1
Joyce Wilson-Jenkins,Feminino,Nascido-Trouxa,Pesquisador(a),Slytherin,Cavalo,Terra,Fênix,Verde,4,8,10,7,8,4,9,2,10,3,8,8,6,2,6,4,4,9,7,7,3,4,6,8,8,9,1,8,3,6
June Warner-Quinn,Não-Binário,Nascido-Trouxa,Professor(a),Hufflepuff,Cervo,Terra,Dragão (miniatura),Amarelo,3,1,4,10,7,10,8,10,6,9,5,2,7,8,10,10,10,6,3,2,8,8,8,5,8,6,8,4,4,10
Chloe Jones,Feminino,Nascido-Trouxa,Medibruxo(a),Hufflepuff,Doninha,Terra,Mini-pufe,Amarelo,1,2,8,8,4,8,1,5,9,8,1,6,10,4,8,9,5,3,3,8,8,8,4,7,2,7,7,5,9,3
Kelly Jones-Wong,Masculino,Puro-Sangue,Herbologista,Slytherin,Urso,Água,Amasso (Kneazle),Prata,10,8,1,6,8,5,8,3,7,6,10,7,6,3,1,8,10,10,5,10,2,3,8,10,10,2,1,8,7,1
Mrs Melissa Smith,Não-Binário,Mestiço,Fabricante de Varinhas,Hufflepuff,Lebre,Terra,Furão,Amarelo,4,5,3,10,7,8,4,10,6,10,2,4,9,7,10,10,5,6,6,5,10,7,10,3,10,6,7,6,5,10
Dr Andrea Bull,Masculino,Mestiço,Desempregado(a),Ravenclaw,Cão,Ar,Rato,Azul,6,10,10,9,1,2,10,6,9,3,4,9,4,4,3,10,7,6,3,9,2,6,9,3,9,8,7,5,8,6
Diane Hill,Masculino,Mestiço,Jornalista,Hufflepuff,Doninha,Terra,Aranha,Amarelo,2,2,6,8,9,8,3,3,6,10,4,4,8,8,7,10,7,5,9,7,8,7,7,6,2,6,9,4,7,5
Dr Lucy Thomas,Não-Binário,Mestiço,Fabricante de Varinhas,Gryffindor,Indeterminado,Ar,Mini-pufe,Vermelho,7,3,8,3,5,5,1,10,1,8,8,1,6,6,1,10,4,6,6,9,6,5,2,7,4,1,4,10,3,8
Aaron Boyle,Não-Binário,Mestiço,Curandeiro(a),Hufflepuff,Salmão,Terra,Furão,Preto,8,5,2,9,4,10,2,6,9,10,2,3,10,7,8,5,5,5,8,4,10,9,9,5,3,6,8,3,4,4
Miss Abbie Goddard,Não-Binário,Puro-Sangue,Jogador(a) de Quadribol,Slytherin,Cavalo,Água,Pomo,Verde,10,9,5,6,9,4,2,9,8,9,8,9,3,6,7,2,3,10,10,6,4,10,10,9,7,6,2,10,2,5
Gerard Clark,Não-Binário,Nascido-Trouxa,Jogador(a) de Quadribol,Gryffindor,Gato,Fogo,Cachorro,Dourado,10,4,5,8,9,1,3,8,3,8,7,10,10,10,2,7,9,5,6,3,9,10,5,8,10,6,7,8,7,1
Fiona Ellis,Masculino,Nascido-Trouxa,Lojista,Hufflepuff,Águia,Terra,Serpente,Amarelo,3,1,9,10,1,8,5,1,5,9,4,2,10,7,10,6,6,5,10,1,8,7,7,6,10,8,7,2,1,9
Christopher Farrell,Feminino,Puro-Sangue,Membro da Suprema Corte,Gryffindor,Lontra,Fogo,Hipogrifo,Vermelho,9,3,4,4,6,6,9,9,4,6,7,10,4,10,1,9,8,3,6,2,4,8,5,8,6,10,1,10,9,7
Jordan Murray,Não-Binário,Mestiço,Professor(a),Ravenclaw,Águia,Água,Hipogrifo,Azul,7,1,9,1,1,2,9,6,9,9,4,9,5,6,5,8,10,9,4,8,5,9,8,3,8,9,2,2,8,5
Miss Fiona Barrett,Não-Binário,Mestiço,Jornalista,Slytherin,Cervo,Água,Testrálio,Verde,5,9,7,7,8,4,7,5,5,2,10,10,5,9,2,1,6,10,4,10,2,7,7,9,10,4,1,9,5,2
Mrs Kimberley Wade,Não-Binário,Mestiço,Estudante,Gryffindor,Lebre,Fogo,Testrálio,Dourado,8,7,5,8,8,5,4,8,1,8,5,5,9,5,5,4,1,5,7,1,5,3,1,5,7,4,2,8,2,10
Ms Marion Baxter,Não-Binário,Mestiço,Herbologista,Gryffindor,Cisne,Fogo,Furão,Vermelho,8,3,7,1,9,4,1,10,3,6,4,8,7,5,6,6,4,3,7,6,4,9,3,9,5,1,5,5,9,6
Neil Phillips,Feminino,Mestiço,Membro da Suprema Corte,Hufflepuff,Fênix,Fogo,Serpente,Preto,4,1,2,10,9,8,3,6,1,10,2,3,10,6,9,3,3,4,5,3,9,8,3,4,7,10,8,5,4,2
Victoria Barrett,Masculino,Mestiço,Jogador(a) de Quadribol,Slytherin,Fênix,Água,Hipogrifo,Verde,8,9,3,4,8,2,8,6,7,2,8,7,5,2,4,8,1,7,7,6,4,10,10,7,6,5,2,10,5,8
Miss Laura White,Não-Binário,Puro-Sangue,Desempregado(a),Hufflepuff,Cervo,Terra,Furão,Preto,6,1,2,10,9,10,5,5,5,9,2,5,9,8,10,2,2,5,10,9,10,10,9,3,5,10,8,4,4,9
Brett Russell-Burke,Não-Binário,Mestiço,Pocionista,Ravenclaw,Urso,Ar,Pomo,Azul,5,9,8,9,4,5,9,5,8,10,6,7,6,7,4,10,10,6,1,6,7,6,8,4,6,10,6,6,10,3
Tracey Holland-Lewis,Masculino,Mestiço,Desempregado(a),Hufflepuff,Doninha,Terra,Mini-pufe,Amarelo,8,2,8,8,9,8,7,6,5,10,4,2,8,6,9,6,6,3,10,1,8,9,8,5,4,10,9,5,2,4
Stacey Hall,Feminino,Puro-Sangue,Herbologista,Ravenclaw,Cão,Ar,Cachorro,Azul,6,1,8,6,7,5,8,5,9,5,3,9,4,7,6,10,10,9,5,2,4,4,9,5,6,3,5,4,8,7
Charlene Cole,Não-Binário,Mestiço,Jogador(a) de Quadribol,Gryffindor,Cão,Fogo,Hipogrifo,Dourado,9,5,8,8,8,5,5,10,1,9,7,3,4,3,10,1,4,2,6,3,2,10,2,8,1,5,1,1,1,5
Charlie Bradley,Masculino,Puro-Sangue,Curandeiro(a),Hufflepuff,Cervo,Terra,Cachorro,Amarelo,10,2,7,8,4,8,4,10,5,9,5,3,8,2,10,7,1,5,1,6,9,9,6,5,10,9,10,6,1,10
Glenn Wright-Cook,Não-Binário,Puro-Sangue,Auror,Slytherin,Raposa,Água,Testrálio,Verde,10,8,4,6,9,2,8,7,7,7,8,10,6,2,8,5,6,9,8,8,1,10,9,6,8,8,1,8,1,1
Catherine Hughes-Rhodes,Feminino,Puro-Sangue,Estudante,Slytherin,Indeterminado,Água,Coruja,Prata,3,10,1,3,7,3,10,9,4,8,8,8,5,5,2,3,3,8,4,7,1,9,9,6,7,5,2,7,4,3
Dr Jennifer Jones,Feminino,Puro-Sangue,Inominável,Hufflepuff,Raposa,Terra,Serpente,Amarelo,4,5,1,8,8,7,5,4,9,8,1,3,7,10,10,7,8,7,10,5,9,8,6,7,3,8,10,4,3,3
Kelly Watson-Morris,Feminino,Nascido-Trouxa,Desempregado(a),Slytherin,Gato,Água,Serpente,Prata,9,10,5,6,8,3,10,2,5,6,9,8,3,7,10,9,1,8,1,8,3,9,8,8,2,8,3,7,3,6
Dr Shaun Norman,Feminino,Mestiço,Auror,Hufflepuff,Serpente,Terra,Cachorro,Amarelo,9,2,2,9,2,7,5,4,6,9,1,5,7,4,9,1,5,6,2,4,9,9,6,6,10,10,6,2,4,4
Joan Brown,Não-Binário,Puro-Sangue,Jogador(a) de Quadribol,Ravenclaw,Raposa,Ar,Testrálio,Azul,4,5,10,8,8,6,8,2,5,8,5,6,6,10,3,10,10,6,4,4,2,3,6,6,7,5,1,5,9,7
Henry Edwards,Não-Binário,Mestiço,Curandeiro(a),Ravenclaw,Cervo,Ar,Aranha,Azul,6,3,9,8,1,5,8,4,8,8,5,6,7,10,6,8,9,9,3,5,10,5,3,4,5,2,4,9,9,1
Lucy West-Oliver,Masculino,Mestiço,Pesquisador(a),Ravenclaw,Lobo,Água,Pomo,Azul,3,5,9,7,2,2,7,3,9,4,6,9,4,1,3,9,7,6,2,7,2,3,3,10,5,8,2,2,10,5
Stacey Turnbull,Masculino,Nascido-Trouxa,Inominável,Slytherin,Fênix,Água,Furão,Prata,7,8,8,5,10,2,10,2,10,4,10,7,2,10,1,4,10,8,1,10,3,9,8,6,10,8,2,7,2,8
Joel Harris,Masculino,Nascido-Trouxa,Curandeiro(a),Hufflepuff,Cão,Terra,Sapo,Amarelo,5,3,7,9,5,9,3,6,8,9,5,4,7,8,7,8,1,5,4,3,10,9,3,4,5,7,10,3,3,9
Beverley Hodgson,Feminino,Mestiço,Lojista,Ravenclaw,Cavalo,Ar,Gato,Azul,3,2,10,9,6,10,8,6,7,10,1,9,7,7,2,8,9,7,1,5,6,2,8,6,6,10,7,1,10,4
Benjamin Moore,Masculino,Mestiço,Jornalista,Hufflepuff,Indeterminado,Terra,Serpente,Amarelo,4,2,10,9,1,8,2,9,5,8,5,3,8,5,8,1,3,6,4,10,8,8,8,4,3,8,7,5,4,8
Mrs Valerie Webb,Feminino,Nascido-Trouxa,Inominável,Slytherin,Cão,Água,Pomo,Verde,6,8,5,4,7,5,10,8,1,8,10,10,4,2,2,4,2,8,5,8,3,5,8,6,6,2,1,9,9,1
Jayne Marshall,Feminino,Puro-Sangue,Inominável,Ravenclaw,Fênix,Ar,Mini-pufe,Azul,3,5,9,10,10,4,9,5,6,6,8,6,5,3,5,10,9,6,4,10,9,2,1,10,5,6,10,6,8,2
Ellie Sullivan,Masculino,Mestiço,Herbologista,Hufflepuff,Serpente,Terra,Cachorro,Amarelo,10,1,7,8,2,10,10,7,5,9,1,2,8,9,9,7,2,5,2,2,8,9,9,7,2,9,7,6,4,6
Frederick Roberts,Masculino,Mestiço,Inominável,Slytherin,Lobo,Água,Serpente,Verde,3,9,10,6,7,2,5,4,5,5,10,10,4,5,4,5,8,10,4,10,2,9,9,7,7,9,2,8,9,2
Mr Joe Smith,Masculino,Nascido-Trouxa,Medibruxo(a),Gryffindor,Cão,Fogo,Rato,Vermelho,8,4,6,1,9,6,9,10,4,6,4,5,3,8,10,9,7,2,6,2,9,1,5,5,5,5,10,4,9,9
Dr Jake Rowe,Feminino,Puro-Sangue,Fabricante de Varinhas,Gryffindor,Cão,Fogo,Aranha,Vermelho,7,4,4,10,6,8,8,10,3,7,5,6,8,6,5,3,5,2,10,9,7,5,2,7,2,2,4,2,6,7
Victoria Cartwright,Masculino,Nascido-Trouxa,Fabricante de Varinhas,Slytherin,Águia,Água,Coruja,Prata,1,9,3,7,7,3,6,9,1,6,10,9,2,1,8,5,7,8,5,9,2,1,10,6,1,7,3,10,7,6
Miss Irene Smith,Não-Binário,Nascido-Trouxa,Jornalista,Ravenclaw,Urso,Ar,Sapo,Bronze,4,4,8,7,8,10,7,8,9,2,3,9,5,5,4,10,7,6,2,10,2,5,9,2,5,7,5,9,9,10
Katherine Shepherd,Feminino,Puro-Sangue,Pocionista,Gryffindor,Fênix,Ar,Aranha,Vermelho,8,4,7,8,7,7,4,9,1,7,6,9,8,5,10,6,1,6,8,4,2,5,1,6,10,2,9,6,4,7
Olivia Marsden,Feminino,Mestiço,Membro da Suprema Corte,Gryffindor,Raposa,Fogo,Sapo,Dourado,7,3,5,1,6,9,9,10,2,6,4,10,2,1,3,7,2,5,10,3,3,9,4,9,9,5,3,4,2,5
Lynda Rowe,Masculino,Mestiço,Membro da Suprema Corte,Hufflepuff,Cavalo,Terra,Rato,Preto,9,2,10,8,2,7,8,10,8,8,3,5,7,7,7,10,1,7,4,9,9,9,1,4,4,7,6,4,4,3
Sean Lucas,Não-Binário,Puro-Sangue,Desempregado(a),Slytherin,Serpente,Água,Amasso (Kneazle),Verde,3,10,1,4,9,4,6,6,10,4,9,7,6,10,2,8,6,9,7,9,2,8,9,7,9,10,3,8,1,1
Mr Oliver Walker,Feminino,Mestiço,Estudante,Gryffindor,Texugo,Fogo,Pomo,Vermelho,8,6,6,8,6,6,9,8,4,6,4,9,2,8,5,8,7,2,8,9,8,4,4,5,1,6,1,3,3,3
Katie Khan,Não-Binário,Puro-Sangue,Membro da Suprema Corte,Slytherin,Cão,Terra,Cachorro,Verde,5,8,6,5,9,3,5,4,7,3,8,7,4,4,7,10,2,10,2,7,1,4,6,6,4,3,2,10,1,8
Mrs Jennifer Burke,Não-Binário,Nascido-Trouxa,Membro da Suprema Corte,Ravenclaw,Raposa,Ar,Mini-pufe,Bronze,7,9,9,8,2,5,10,2,9,4,8,8,6,9,6,10,9,7,3,5,7,2,9,6,8,8,8,1,10,9
Miss Janet Butcher,Masculino,Nascido-Trouxa,Auror,Ravenclaw,Fênix,Ar,Dragão (miniatura),Azul,7,7,8,3,4,9,10,3,8,10,3,9,3,3,3,8,10,9,1,1,1,5,4,8,5,7,4,6,7,2
Abigail O'Neill,Feminino,Nascido-Trouxa,Herbologista,Slytherin,Águia,Água,Aranha,Verde,5,10,2,3,8,2,2,6,10,4,9,9,3,5,6,6,4,7,4,9,1,5,7,6,2,2,1,10,9,9
Lauren Allan,Feminino,Puro-Sangue,Herbologista,Slytherin,Gato,Água,Dragão (miniatura),Verde,8,9,1,6,7,4,9,4,6,2,10,8,5,4,2,5,8,9,5,6,2,5,8,8,3,10,3,7,6,8
Dr Charles Archer,Masculino,Puro-Sangue,Jornalista,Slytherin,Cisne,Água,Pomo,Verde,7,10,7,6,9,5,9,7,10,1,8,10,2,4,10,8,6,7,8,9,2,4,8,10,6,1,1,8,2,8
Lucy Hunter,Feminino,Puro-Sangue,Funcionário(a) do Ministério,Hufflepuff,Águia,Terra,Aranha,Amarelo,8,2,8,8,4,7,8,4,2,10,5,6,7,9,8,3,5,7,9,10,8,7,9,7,1,6,7,4,1,2
Geoffrey Hudson,Masculino,Nascido-Trouxa,Herbologista,Hufflepuff,Serpente,Terra,Sapo,Amarelo,5,5,9,8,4,10,4,1,3,8,3,2,8,6,10,8,9,5,6,6,8,7,5,5,10,7,8,3,6,8
Jasmine Allen-Mitchell,Não-Binário,Nascido-Trouxa,Jornalista,Gryffindor,Cão,Fogo,Testrálio,Vermelho,10,4,7,6,6,8,5,7,3,7,8,7,7,2,7,6,8,3,7,9,10,7,2,6,8,9,8,9,1,8
Bethan Kennedy,Não-Binário,Nascido-Trouxa,Tratador(a) de Criaturas Mágicas,Ravenclaw,Cervo,Água,Mini-pufe,Bronze,5,4,8,7,9,8,7,5,6,4,9,8,5,6,2,9,7,9,1,9,2,6,5,2,5,4,3,4,7,4
Dr Lee Lee,Masculino,Puro-Sangue,Curandeiro(a),Gryffindor,Doninha,Fogo,Fênix,Dourado,8,4,4,4,7,8,2,9,2,9,5,4,1,9,5,9,8,3,9,2,7,10,3,6,6,5,6,5,9,4
Mrs June Jenkins,Feminino,Mestiço,Funcionário(a) do Ministério,Ravenclaw,Lebre,Ar,Dragão (miniatura),Azul,5,7,9,4,9,1,10,7,8,3,5,9,7,1,4,10,6,9,4,3,5,8,3,9,5,5,5,7,9,5
Mrs Charlotte Jenkins,Feminino,Nascido-Trouxa,Desempregado(a),Gryffindor,Cão,Fogo,Coruja,Vermelho,8,3,6,4,9,1,1,7,4,7,4,10,4,2,4,10,2,6,6,4,8,3,1,5,3,2,3,5,4,7
Dr Jayne Davies,Masculino,Puro-Sangue,Auror,Gryffindor,Lebre,Fogo,Hipogrifo,Dourado,10,6,4,5,8,1,1,9,4,10,4,1,8,6,3,3,5,3,9,6,10,4,4,6,4,1,9,8,1,1
Diane Robinson,Feminino,Puro-Sangue,Lojista,Hufflepuff,Indeterminado,Terra,Fênix,Preto,5,4,5,8,1,10,2,6,10,9,4,5,8,4,10,5,10,7,6,5,9,9,4,3,10,10,9,6,4,3
Julia Murray-French,Não-Binário,Nascido-Trouxa,Curandeiro(a),Hufflepuff,Gato,Terra,Cachorro,Preto,6,2,1,8,10,8,7,7,3,8,1,6,9,8,9,5,1,3,10,6,10,8,6,6,8,6,10,2,3,4
Mary Campbell,Masculino,Nascido-Trouxa,Estudante,Hufflepuff,Indeterminado,Terra,Pomo,Amarelo,10,1,9,9,1,7,6,9,2,8,1,6,7,3,9,9,10,7,6,2,8,9,8,3,10,8,9,6,9,1
Dr Robert Akhtar,Feminino,Puro-Sangue,Curandeiro(a),Hufflepuff,Cisne,Terra,Gato,Amarelo,9,3,3,9,4,10,2,9,5,10,2,2,9,10,7,5,3,5,2,2,10,10,5,7,8,10,7,3,5,2
Gemma Moore,Masculino,Mestiço,Inominável,Gryffindor,Gato,Fogo,Gato,Vermelho,10,6,7,2,8,1,5,9,2,6,6,10,5,7,1,1,9,6,10,8,5,1,1,5,8,2,4,2,6,6
Joseph Evans,Masculino,Puro-Sangue,Herbologista,Hufflepuff,Cão,Terra,Coruja,Amarelo,1,2,1,9,5,10,1,2,8,8,4,6,8,2,9,1,5,6,1,6,10,7,2,7,1,9,10,3,4,10
Ms Amber Dixon,Masculino,Mestiço,Professor(a),Hufflepuff,Gato,Fogo,Fênix,Preto,4,1,4,10,9,7,6,8,9,9,1,2,9,8,10,7,9,6,1,10,10,7,7,7,4,8,6,3,6,2
Anne Hussain-Banks,Não-Binário,Mestiço,Herbologista,Slytherin,Serpente,Água,Testrálio,Verde,4,10,10,4,8,4,10,1,9,9,8,8,2,5,8,10,3,9,10,8,1,10,8,6,3,6,1,9,5,3
Ross Ward-Bailey,Masculino,Nascido-Trouxa,Tratador(a) de Criaturas Mágicas,Slytherin,Águia,Água,Fênix,Verde,8,8,2,4,8,3,8,5,8,7,10,7,6,4,1,10,6,8,3,8,3,4,7,7,2,4,3,9,8,8
Catherine Martin-Davies,Não-Binário,Mestiço,Membro da Suprema Corte,Hufflepuff,Cervo,Terra,Aranha,Amarelo,3,4,8,10,9,9,10,6,6,8,2,4,10,6,8,9,4,4,3,6,8,8,6,5,8,6,10,2,7,4
Rhys Griffiths,Feminino,Nascido-Trouxa,Curandeiro(a),Gryffindor,Doninha,Fogo,Rato,Dourado,7,6,4,3,5,8,2,7,4,9,5,3,7,2,9,10,2,4,10,4,9,5,1,5,9,9,10,5,6,1
Dr Mohammad Miles,Feminino,Mestiço,Pocionista,Gryffindor,Doninha,Fogo,Hipogrifo,Dourado,10,3,7,7,8,5,2,9,2,8,7,4,8,7,5,6,8,3,9,5,3,9,1,8,5,1,7,5,6,8
Dylan Owen,Masculino,Nascido-Trouxa,Pocionista,Ravenclaw,Indeterminado,Água,Cachorro,Azul,4,6,8,9,3,5,7,6,9,10,10,9,3,8,5,10,6,8,4,7,10,8,3,5,7,10,3,3,9,7
Miss Julie Sullivan,Não-Binário,Mestiço,Membro da Suprema Corte,Ravenclaw,Águia,Ar,Fênix,Azul,7,5,9,7,7,1,9,8,7,1,6,8,7,9,5,10,6,9,1,2,5,3,9,10,6,7,2,10,9,6
Kerry Stokes,Masculino,Nascido-Trouxa,Herbologista,Gryffindor,Cavalo,Ar,Furão,Vermelho,8,6,6,3,5,5,5,10,4,10,7,8,6,5,9,5,4,2,9,6,8,1,5,6,7,9,8,5,4,3
Ben Barker,Não-Binário,Nascido-Trouxa,Herbologista,Ravenclaw,Cisne,Água,Serpente,Azul,6,3,10,8,5,8,9,6,6,9,8,7,6,7,5,9,10,5,2,8,8,2,3,5,5,6,2,4,10,9
Benjamin Evans,Não-Binário,Mestiço,Funcionário(a) do Ministério,Gryffindor,Cavalo,Fogo,Cachorro,Vermelho,9,3,4,7,5,1,10,7,1,7,8,8,9,3,5,6,2,3,7,1,7,3,2,6,2,5,1,3,3,8
Carl Dean-Smith,Não-Binário,Puro-Sangue,Membro da Suprema Corte,Ravenclaw,Lontra,Água,Dragão (miniatura),Bronze,6,7,8,2,7,1,10,8,9,2,1,8,7,10,3,8,10,7,2,7,5,2,10,1,7,9,6,5,7,2
